id,p1,p2,p3,p4,p5,p6
sinne,0.63,0.94,0.29,0.51,0.43,0.18
alcar,0.62,0.89,0.31,0.44,0.41,0.17
zvere,0.73,0.94,0.23,0.44,0.42,0.20
auger,0.66,0.90,0.27,0.38,0.39,0.26
shelt,0.67,0.87,0.23,0.40,0.42,0.20
demin,0.56,0.92,0.34,0.52,0.40,0.09
medve,0.64,0.86,0.29,0.47,0.39,0.17
djoko,0.68,0.92,0.33,0.51,0.39,0.18
fritz,0.67,0.94,0.24,0.44,0.42,0.27
cobol,0.59,0.93,0.26,0.40,0.37,0.14
bubli,0.65,0.84,0.25,0.41,0.40,0.28
lehec,0.62,0.94,0.27,0.37,0.42,0.22
ruble,0.58,0.87,0.22,0.42,0.41,0.17
muset,0.66,0.92,0.28,0.44,0.38,0.08
mensi,0.61,0.88,0.28,0.41,0.34,0.26
darde,0.63,0.91,0.30,0.40,0.37,0.11
khach,0.63,0.93,0.25,0.46,0.39,0.14
tien,0.61,0.86,0.21,0.44,0.40,0.12
fils,0.61,0.87,0.26,0.41,0.39,0.12
fokin,0.67,0.93,0.30,0.45,0.37,0.08
