id,p1,p2,p3,p4,p5,p6
sinne,0.65,0.94,0.26,0.51,0.45,0.25
zvere,0.74,0.90,0.26,0.44,0.46,0.19
auger,0.67,0.91,0.29,0.37,0.40,0.23
shelt,0.69,0.88,0.21,0.38,0.43,0.17
demin,0.56,0.90,0.32,0.55,0.38,0.09
fritz,0.66,0.95,0.26,0.42,0.41,0.29
djoko,0.70,0.91,0.22,0.46,0.40,0.14
medve,0.62,0.85,0.31,0.56,0.38,0.18
cobol,0.56,0.94,0.28,0.44,0.35,0.13
bubli,0.69,0.88,0.21,0.42,0.40,0.30
lehec,0.65,0.93,0.26,0.43,0.39,0.20
tien,0.61,0.88,0.33,0.45,0.34,0.09
mensi,0.66,0.91,0.28,0.38,0.35,0.24
tiafo,0.60,0.91,0.21,0.49,0.44,0.12
cerun,0.60,0.88,0.23,0.52,0.34,0.06
khach,0.69,0.94,0.28,0.50,0.40,0.13
fokin,0.68,0.92,0.30,0.44,0.45,0.10
paul,0.61,0.93,0.31,0.47,0.42,0.18
jodar,0.60,0.91,0.32,0.51,0.34,0.12
fonse,0.73,0.93,0.27,0.52,0.36,0.12
rinde,0.65,0.91,0.24,0.35,0.47,0.32
humbe,0.60,0.90,0.27,0.46,0.39,0.14
nakas,0.66,0.95,0.22,0.45,0.38,0.22
buse,0.69,0.92,0.26,0.47,0.35,0.04
bergs,0.62,0.84,0.33,0.48,0.37,0.15
manna,0.55,0.92,0.29,0.51,0.39,0.10
clar,0.62,0.89,0.30,0.47,0.39,0.16
majch,0.66,0.95,0.28,0.41,0.41,0.17
miche,0.63,0.83,0.37,0.47,0.42,0.09
quinn,0.64,0.83,0.27,0.44,0.40,0.20
borge,0.69,0.95,0.26,0.40,0.38,0.12
kecma,0.66,0.92,0.17,0.39,0.39,0.05
berre,0.71,0.90,0.23,0.33,0.40,0.22
maroz,0.68,0.91,0.26,0.38,0.36,0.11
zands,0.61,0.88,0.28,0.43,0.36,0.17
hanfm,0.63,0.92,0.26,0.41,0.41,0.19
altma,0.64,0.86,0.27,0.37,0.35,0.22
svajd,0.58,0.93,0.30,0.42,0.37,0.14
soneg,0.73,0.94,0.24,0.38,0.42,0.15
carre,0.67,0.93,0.26,0.52,0.37,0.07
jong,0.58,0.87,0.27,0.40,0.35,0.17
struf,0.56,0.93,0.22,0.49,0.38,0.26
royer,0.61,0.92,0.19,0.46,0.36,0.09
fucso,0.57,0.87,0.30,0.38,0.37,0.08
duckw,0.52,0.93,0.22,0.38,0.45,0.18
brook,0.69,0.94,0.30,0.50,0.37,0.08
hijik,0.60,0.93,0.25,0.45,0.39,0.10
walto,0.61,0.92,0.34,0.44,0.37,0.12
diall,0.70,0.90,0.27,0.34,0.37,0.12
prizm,0.62,0.93,0.21,0.41,0.42,0.09
giron,0.65,0.93,0.27,0.45,0.36,0.08
trung,0.60,0.86,0.22,0.50,0.41,0.11
halys,0.54,0.90,0.27,0.49,0.37,0.19
hurka,0.64,0.92,0.23,0.45,0.36,0.26
faria,0.60,0.83,0.23,0.43,0.44,0.18
choin,0.64,0.95,0.25,0.46,0.35,0.19
molca,0.67,0.91,0.26,0.53,0.36,0.08
molca1,0.67,0.91,0.26,0.53,0.36,0.08
wu,0.59,0.89,0.33,0.45,0.34,0.11
vukic,0.60,0.90,0.24,0.35,0.31,0.12
damm,0.67,0.89,0.20,0.37,0.39,0.21
yunch,0.61,0.89,0.26,0.46,0.36,0.13
kypso,0.62,0.88,0.26,0.46,0.34,0.13
fery,0.64,0.95,0.27,0.44,0.36,0.08
gasto,0.55,0.94,0.30,0.44,0.36,0.09
