id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sinne,Jannik Sinner,Jannik,Sinner,1,2,0.61,0.94,0.38,0.48,0.45,0.11,ITA,24,18,2,10,0,0
alcar,Carlos Alcaraz,Carlos,Alcaraz,2,2,0.66,0.91,0.38,0.52,0.42,0.06,ESP,23,5,1,7,3,0
zvere,Alexander Zverev,Alexander,Zverev,3,2,0.71,0.89,0.34,0.49,0.44,0.12,GER,29,25,4,8,2,0
auger,Felix Auger Aliassime,Felix,Auger Aliassime,4,2,0.67,0.89,0.32,0.44,0.41,0.13,CAN,25,10,6,8,2,0
shelt,Ben Shelton,Ben,Shelton,5,2,0.65,0.88,0.25,0.39,0.45,0.14,USA,23,10,6,6,4,0
demin,Alex De Minaur,Alex,De Minaur,6,2,0.54,0.91,0.34,0.48,0.40,0.06,AUS,27,8,7,6,4,0
fritz,Taylor Fritz,Taylor,Fritz,7,2,0.62,0.95,0.27,0.41,0.41,0.19,USA,28,0,2,8,2,0
djoko,Novak Djokovic,Novak,Djokovic,8,2,0.67,0.92,0.34,0.49,0.43,0.10,SRB,39,4,2,8,2,0
medve,Daniil Medvedev,Daniil,Medvedev,9,2,0.61,0.86,0.36,0.48,0.38,0.10,RUS,30,5,4,7,3,0
cobol,Flavio Cobolli,Flavio,Cobolli,10,2,0.49,0.94,0.23,0.42,0.31,0.07,ITA,24,18,9,6,4,1
bubli,Alexander Bublik,Alexander,Bublik,11,2,0.61,0.86,0.08,0.31,0.51,0.20,KAZ,29,5,7,5,5,1
ruud,Casper Ruud,Casper,Ruud,12,2,0.66,0.92,0.21,0.52,0.42,0.06,NOR,27,18,7,5,5,1
ruble,Andrey Rublev,Andrey,Rublev,13,2,0.61,0.93,0.29,0.48,0.47,0.21,RUS,28,18,5,5,5,1
lehec,Jiri Lehecka,Jiri,Lehecka,14,2,0.65,0.93,0.29,0.42,0.38,0.11,CZE,24,6,5,6,4,0
muset,Lorenzo Musetti,Lorenzo,Musetti,15,2,0.66,0.94,0.34,0.47,0.39,0.05,ITA,24,6,4,6,4,0
darde,Luciano Darderi,Luciano,Darderi,16,2,0.60,0.92,0.24,0.51,0.42,0.12,ITA,24,21,11,5,5,1
tien,Learner Tien,Learner,Tien,17,2,0.60,0.88,0.33,0.45,0.38,0.07,USA,20,10,5,4,6,0
mensi,Jakub Mensik,Jakub,Mensik,18,2,0.57,0.89,0.32,0.44,0.40,0.15,CZE,20,12,5,4,6,0
tiafo,Frances Tiafoe,Frances,Tiafoe,19,2,0.56,0.94,0.30,0.46,0.41,0.13,USA,28,9,4,8,2,0
vache,Valentin Vacherot,Valentin,Vacherot,20,2,0.69,0.86,0.29,0.34,0.46,0.20,MON,27,8,4,6,4,1
cerun,Francisco Cerundolo,Francisco,Cerundolo,21,2,0.63,0.90,0.36,0.49,0.39,0.07,ARG,27,16,9,8,2,0
khach,Karen Khachanov,Karen,Khachanov,22,2,0.65,0.95,0.31,0.47,0.39,0.09,RUS,30,9,6,5,5,0
fokin,Alejandro Davidovich Fokina,Alejandro,Davidovich Fokina,23,2,0.60,0.96,0.33,0.55,0.35,0.12,ESP,27,6,6,7,3,1
fils,Arthur Fils,Arthur,Fils,24,2,0.62,0.90,0.33,0.46,0.41,0.07,FRA,22,9,2,6,4,0
paul,Tommy Paul,Tommy,Paul,25,2,0.61,0.94,0.33,0.49,0.40,0.08,USA,29,15,4,6,4,0
jodar,Rafael Jodar,Rafael,Jodar,26,2,0.64,0.92,0.37,0.48,0.40,0.07,ESP,19,21,5,6,4,0
fonse,Joao Fonseca,Joao,Fonseca,27,2,0.67,0.94,0.30,0.47,0.41,0.07,BRA,19,13,8,4,6,0
rinde,Arthur Rinderknech,Arthur,Rinderknech,28,2,0.65,0.88,0.25,0.41,0.42,0.19,FRA,30,9,8,6,4,1
norri,Cameron Norrie,Cameron,Norrie,29,2,0.64,0.92,0.31,0.46,0.38,0.06,GBR,30,5,6,2,8,0
humbe,Ugo Humbert,Ugo,Humbert,30,2,0.58,0.88,0.29,0.43,0.40,0.12,FRA,28,5,6,6,4,0
nakas,Brandon Nakashima,Brandon,Nakashima,31,2,0.65,0.96,0.28,0.46,0.38,0.13,USA,24,6,6,6,4,0
etche,Tomas Martin Etcheverry,Tomas,Martin Etcheverry,32,2,0.75,0.94,0.24,0.25,0.30,0.02,ARG,27,16,11,0,10,1
tabil,Alejandro Tabilo,Alejandro,Tabilo,33,2,0.65,0.92,0.26,0.45,0.35,0.10,CHI,29,37,13,2,8,1
buse,Ignacio Buse,Ignacio,Buse,34,2,0.56,0.96,0.30,0.44,0.35,0.06,PER,22,20,14,4,6,1
arnal,Matteo Arnaldi,Matteo,Arnaldi,35,2,0.52,0.94,0.30,0.50,0.41,0.13,ITA,25,23,7,5,5,1
block,Alexander Blockx,Alexander,Blockx,36,2,0.48,0.83,0.23,0.51,0.33,0.11,BEL,21,16,6,4,6,1
bergs,Zizou Bergs,Zizou,Bergs,37,2,0.60,0.87,0.33,0.43,0.41,0.13,BEL,27,12,10,8,2,0
navon,Mariano Navone,Mariano,Navone,38,2,0.75,0.88,0.39,0.42,0.32,0.04,ARG,25,17,13,2,8,1
moute,Corentin Moutet,Corentin,Moutet,39,2,0.65,0.92,0.35,0.47,0.37,0.04,FRA,27,3,8,2,8,0
manna,Adrian Mannarino,Adrian,Mannarino,40,2,0.62,0.92,0.29,0.42,0.32,0.05,FRA,38,0,9,4,6,0
shapo,Denis Shapovalov,Denis,Shapovalov,41,2,0.56,0.82,0.30,0.37,0.41,0.12,CAN,27,2,6,2,8,0
cerun1,Juan Manuel Cerundolo,Juan,Manuel Cerundolo,42,2,0.51,0.92,0.29,0.38,0.40,0.15,ARG,24,36,16,4,6,1
colli,Raphael Collignon,Raphael,Collignon,43,2,0.61,0.84,0.27,0.41,0.41,0.14,BEL,24,28,7,6,4,1
clar,Jaume Antoni Munar Clar,Jaume,Antoni Munar Clar,44,2,0.65,0.89,0.35,0.47,0.37,0.05,ESP,29,5,10,4,6,0
majch,Kamil Majchrzak,Kamil,Majchrzak,45,2,0.60,0.95,0.30,0.47,0.40,0.11,POL,30,1,3,6,4,0
miche,Alex Michelsen,Alex,Michelsen,46,2,0.65,0.90,0.32,0.44,0.38,0.08,USA,21,8,9,6,4,0
quinn,Ethan Quinn,Ethan,Quinn,47,2,0.62,0.92,0.26,0.41,0.39,0.10,USA,22,10,10,6,4,0
borge,Nuno Borges,Nuno,Borges,48,2,0.72,0.95,0.32,0.53,0.41,0.13,POR,29,14,10,7,3,1
macha,Tomas Machac,Tomas,Machac,49,2,0.62,0.91,0.32,0.44,0.37,0.07,CZE,25,7,6,5,5,0
kecma,Miomir Kecmanovic,Miomir,Kecmanovic,50,2,0.64,0.95,0.29,0.44,0.37,0.07,SRB,26,15,8,4,6,1
berre,Matteo Berrettini,Matteo,Berrettini,51,2,0.64,0.94,0.30,0.40,0.43,0.12,ITA,30,18,12,7,3,0
atman,Terence Atmane,Terence,Atmane,52,2,0.60,0.90,0.25,0.41,0.40,0.12,FRA,24,4,9,2,8,0
maroz,Fabian Marozsan,Fabian,Marozsan,53,2,0.64,0.93,0.31,0.45,0.40,0.06,HUN,26,6,9,6,4,0
zands,Botic Van De Zandschulp,Botic,Van De Zandschulp,54,2,0.61,0.85,0.35,0.34,0.37,0.13,NED,30,9,9,4,6,1
tiran,Thiago Agustin Tirante,Thiago,Agustin Tirante,55,2,0.63,0.84,0.32,0.50,0.43,0.09,ARG,25,18,8,5,5,1
hanfm,Yannick Hanfmann,Yannick,Hanfmann,56,2,0.59,0.96,0.32,0.36,0.45,0.29,GER,34,14,9,5,5,1
baez,Sebastian Baez,Sebastian,Baez,57,2,0.71,0.94,0.26,0.49,0.40,0.05,ARG,25,23,14,7,3,1
griek,Tallon Griekspoor,Tallon,Griekspoor,58,2,0.61,0.89,0.29,0.43,0.41,0.12,NED,30,5,9,2,8,0
carab,Camilo Ugo Carabelli,Camilo,Ugo Carabelli,59,2,0.58,0.90,0.34,0.41,0.36,0.09,ARG,27,27,14,4,6,1
