id,p1,p2,p3,p4,p5,p6
swiat,0.76,0.94,0.51,0.61,0.38,0.02
pegul,0.59,0.93,0.32,0.52,0.42,0.13
svito,0.53,0.81,0.35,0.58,0.36,0.07
osaka,0.47,0.89,0.31,0.40,0.45,0.21
shnai,0.69,0.88,0.38,0.50,0.44,0.03
alexa,0.53,0.72,0.43,0.32,0.42,0.09
kalin,0.54,0.75,0.35,0.56,0.45,0.11
keys,0.61,0.78,0.34,0.49,0.47,0.17
bouzk,0.67,0.86,0.40,0.55,0.43,0.05
ferna,0.63,0.84,0.38,0.42,0.40,0.08
tauso,0.63,0.81,0.35,0.44,0.38,0.08
navar,0.57,0.75,0.39,0.56,0.35,0.21
potap,0.53,0.84,0.31,0.59,0.47,0.04
li,0.52,0.93,0.36,0.42,0.33,0.08
eala,0.61,0.90,0.40,0.53,0.45,0.03
vekic,0.50,0.80,0.36,0.63,0.35,0.11
bucsa,0.64,0.79,0.35,0.39,0.38,0.02
sinia,0.62,0.80,0.49,0.31,0.24,0.04
krejc,0.61,0.83,0.39,0.49,0.45,0.08
wang,0.69,0.85,0.42,0.46,0.32,0.01
samso,0.52,0.81,0.31,0.43,0.46,0.14
tjen,0.53,0.84,0.26,0.51,0.40,0.12
sakka,0.61,0.95,0.39,0.52,0.49,0.09
frech,0.65,0.89,0.41,0.44,0.36,0.05
bejle,0.64,0.93,0.43,0.49,0.35,0.01
cocci,0.63,0.83,0.30,0.46,0.43,0.01
bartu,0.50,0.90,0.37,0.55,0.40,0.19
parry,0.57,0.89,0.38,0.23,0.32,0.09
mcnal,0.69,0.76,0.46,0.51,0.35,0.01
sonme,0.64,0.88,0.34,0.45,0.36,0.05
manei,0.55,0.77,0.39,0.44,0.38,0.03
valen,0.62,0.83,0.40,0.54,0.37,0.04
staro,0.62,0.88,0.41,0.43,0.31,0.03
sierr,0.52,0.79,0.30,0.40,0.40,0.01
kessl,0.60,0.90,0.37,0.35,0.32,0.11
gibso,0.50,0.85,0.42,0.43,0.40,0.17
linet,0.57,0.95,0.35,0.35,0.37,0.04
boult,0.52,0.72,0.24,0.42,0.40,0.04
ruzic,0.64,0.87,0.35,0.38,0.37,0.02
golub,0.70,0.88,0.38,0.49,0.38,0.00
stear,0.55,0.82,0.36,0.52,0.38,0.07
zhang,0.64,0.81,0.40,0.57,0.42,0.02
kasat,0.59,0.69,0.44,0.44,0.38,0.05
kalin1,0.65,0.79,0.34,0.52,0.38,0.00
serra,0.59,0.82,0.40,0.40,0.39,0.05
udvar,0.56,1.00,0.39,0.35,0.40,0.07
rakhi,0.56,0.82,0.42,0.54,0.39,0.05
ruse,0.50,0.85,0.39,0.49,0.38,0.13
birre,0.61,0.80,0.39,0.36,0.38,0.06
plisk,0.66,0.83,0.39,0.50,0.40,0.09
zaraz,0.75,0.93,0.42,0.50,0.39,0.01
lys,0.67,0.79,0.35,0.44,0.42,0.08
snigu,0.64,0.86,0.41,0.47,0.40,0.07
korpa,0.68,0.88,0.39,0.63,0.32,0.06
towns,0.56,0.92,0.38,0.48,0.38,0.06
parks,0.52,0.77,0.36,0.48,0.40,0.12
tagge,0.65,0.91,0.38,0.49,0.47,0.12
zakha,0.72,0.89,0.42,0.54,0.39,0.00
wang1,0.69,0.85,0.42,0.46,0.32,0.01
joint,0.62,0.84,0.39,0.49,0.39,0.03
selek,0.51,0.66,0.41,0.47,0.31,0.02
vidma,0.60,0.91,0.39,0.44,0.39,0.13
timof,0.67,0.85,0.35,0.53,0.29,0.04
maria,0.63,0.90,0.39,0.47,0.38,0.14
korne,0.66,0.85,0.46,0.55,0.40,0.05
tarar,0.56,0.86,0.36,0.55,0.44,0.11
seide,0.59,0.80,0.37,0.55,0.42,0.09
volyn,0.71,0.90,0.38,0.45,0.37,0.06
volyn1,0.71,0.90,0.38,0.45,0.37,0.06
krueg,0.56,0.74,0.28,0.42,0.44,0.14
vande,0.61,0.84,0.39,0.50,0.41,0.11
kenin,0.64,0.79,0.36,0.47,0.28,0.05
uchij,0.55,0.84,0.41,0.41,0.41,0.11
kasin,0.64,0.70,0.40,0.51,0.33,0.03
kuder,0.52,0.78,0.38,0.44,0.42,0.07
blink,0.55,0.88,0.42,0.47,0.34,0.06
prest,0.61,0.80,0.41,0.49,0.45,0.05
kawa,0.50,0.82,0.35,0.42,0.42,0.06
